ID,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
1979-1,"Circus Train (June 11, 1979-July 31, 1979)",1979,"June 11, 1979","July 31, 1979",
1979-2,"Space Raiders (August 1, 1979-December 25, 1979)",1979,"August 1, 1979","December 25, 1979",
1979-3,"Space Aliens (Alien Creatures) (August 16, 1979-December 25, 1979) (Kansas City, MO metro area)",1979,"August 16, 1979","December 25, 1979",
1979-4,"Star Trek: The Motion Picture toys (December 26, 1979-February 3, 1980)",1979,The Motion Picture,ys,
1980-1,"Star Trek: The Motion Picture toys (December 26, 1979-February 3, 1980)",1980,The Motion Picture,ys,
1980-2,"Safari Adventure (June 2-29, 1980)",1980,June 2,"29, 1980",
1980-3,"Dallas Cowboys Super Box (Dallas, TX metro area)",1980,,,
1980-4,Happy Hotcakes (South Carolina and Ohio),1980,,,
1980-5,"Look-Look Books (Southern California and St. Louis, MO metro area)",1980,Look,Look Books,
1980-6,Olympic Medal Happy Meal (limited distribution due to US-led boycott of the 1980 Olympics),1980,limited distribution due to US,led boycott of the 1980 Olympics,
1981-1,Old West (Spring 1981),1981,Spring 1981,,
1981-2,"Playmobil (May 8, 1981-June 25, 1981) (St. Louis, MO/Columbia, MO/Jefferson City, MO/Springfield, MO metro areas and Nebraska)",1981,"May 8, 1981","June 25, 1981",
1981-3,"Adventures of Ronald McDonald (May 25, 1981-June 21, 1981)",1981,"May 25, 1981","June 21, 1981",
1981-4,"3-D Happy Meal (May-June 1981/November 1981) (portions of Arkansas, Kansas, Mississippi, Missouri, Oklahoma, and Tennessee)",1981,May,June 1981/November 1981,
1981-5,"Dinosaur Days (October 5, 1981-January 24, 1982)",1981,"October 5, 1981","January 24, 1982",
1981-6,"Spaceship (Unidentified Happy Meal) (1981) (Kansas City, MO metro area)",1981,1981,,
1982-1,"Spaceships (January 22, 1982 - Feburary 28, 1982)",1982,"January 22, 1982","Feburary 28, 1982",
1982-2,"Wacky Happy Meal (March 1, 1982 - May 23, 1982) (St. Louis, MO metro area)",1982,"March 1, 1982","May 23, 1982",
1982-3,"Going Places (February 21, 1982 - April 28, 1982)",1982,"February 21, 1982","April 28, 1982",
