ID,STORE,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
1,MC,Circus Train,1979,1979-06-11,1979-07-31,
2,MC,Space Raiders,1979,1979-08-01,1979-12-25,
3,MC,Space Aliens,1979,1979-08-16,1979-12-25,
4,MC,Star Trek: The Motion Picture toys,1979,1979-12-26,1979-12-26,
5,MC,Star Trek: The Motion Picture toys,1980,1979-12-26,1979-12-26,
6,MC,Safari Adventure,1980,1980-06-02,1980-06-02,
7,MC,Dallas Cowboys Super Box,1980,,,
8,MC,Happy Hotcakes,1980,,,
9,MC,Look,1980,,,
10,MC,Olympic Medal Happy Meal,1980,,,
11,MC,Old West,1981,,,
12,MC,Playmobil,1981,1981-05-08,1981-06-25,
13,MC,Adventures of Ronald McDonald,1981,1981-05-25,1981-06-21,
14,MC,3,1981,1981-06-19,1981-06-19,
15,MC,Dinosaur Days,1981,1981-10-05,1982-01-24,
16,MC,Spaceship,1981,1981-01-01,,
17,MC,Spaceships,1982,1982-01-22,1982-02-28,
18,MC,Wacky Happy Meal,1982,1982-03-01,1982-05-23,
19,MC,Going Places,1982,1982-02-21,1982-04-28,
20,MC,The Dukes of Hazzard,1982,1982-05-21,1982-07-04,
21,MC,McDonaldland Express,1982,1982-06-11,1982-07-15,
22,MC,Giggles and Games,1982,1982-06-28,1982-10-21,
23,MC,Little Golden Book,1982,1982-07-16,1982-08-23,
24,MC,Playmobil,1982,1982-10-22,1982-11-02,
25,MC,Sky,1982,,,
26,MC,McDonaldland Junction,1983,1983-01-17,1983-03-27,
27,MC,Mystery Happy Meal,1983,1983-03-28,1983-06-05,
28,MC,Play,1983,1983-05-19,1983-05-19,
29,MC,Ship Shape Happy Meal,1983,1983-06-06,1983-07-18,
30,MC,Lego Building Sets,1983,1983-06-19,1983-06-19,
31,MC,Circus Happy Meal,1983,1983-09-30,1983-11-23,
32,MC,Winter Worlds Happy Meal,1983,1983-11-28,1984-02-05,
33,MC,Astrosniks,1983,1983-01-01,,
34,MC,Going Places Cups/Hot Wheels,1983,1983-01-01,,
35,MC,Happy Pail,1983,1983-01-01,,
36,MC,Happy Teeth,1983,1983-01-01,,
37,MC,Good Sports Happy Meal,1984,1984-02-05,1984-04-15,
38,MC,Popoids/Crazy Creatures,1984,1984-03-30,1984-05-06,
39,MC,Astrosniks,1984,1984-04-19,1984-04-19,
40,MC,Happy Pail,1984,1984-05-18,1984-06-17,
41,MC,Olympic Sports Happy Meal,1984,1984-06-18,1984-08-20,
42,MC,School Days Happy Meal,1984,1984-08-20,1984-10-25,
43,MC,Lego Building Sets,1984,1984-10-26,1984-11-25,
44,MC,Happy Holidays Happy Meal,1984,1984-11-23,1984-12-24,
45,MC,Picture Perfect Happy Meal,1984,1984-12-28,1985-01-25,
46,MC,Fast Macs,1984,1984-01-01,,
47,MC,Olympic Beach Balls,1984,1984-01-01,,
48,MC,Play,1985,1985-02-15,1985-02-15,
49,MC,Sticker Club Happy Meal,1985,1985-03-11,1985-05-19,
50,MC,Magic Show Happy Meal,1985,1985-05-19,1985-05-19,
51,MC,Ship Shape Happy Meal,1985,1985-05-31,1985-06-30,
52,MC,E.T.: The Extra Terrestrial,1985,1985-07-05,1985-08-01,
53,MC,Crazy Creatures with Popoids,1985,1985-08-02,1985-09-02,
54,MC,Commandrons,1985,1985-08-22,1985-09-21,
55,MC,Halloween Pails,1985,1985-10-11,1985-10-11,
56,MC,Stomper Mini I 4x4 Push,1985,1985-10-17,1985-10-17,
57,MC,Astrosniks,1985,1985-11-19,1985-11-19,
58,MC,Santa Claus: The Movie,1985,1985-11-22,1985-12-24,
59,MC,Feeling Good Happy Meal,1985,1985-12-26,1986-03-09,
60,MC,Beach Ball Characters,1985,1985-01-01,,
61,MC,Crayola,1985,,,
62,MC,Day & Night Happy Meal,1985,1985-01-01,,
63,MC,Fast Macs,1985,1985-01-01,,
64,MC,Florida Beach Balls,1985,1985-01-01,,
65,MC,Hobby Box Happy Meal,1985,1985-01-01,,
66,MC,Little Travelers/Super Travelers,1985,1985-01-01,,
67,MC,Music Happy Meal,1985,1985-01-01,,
68,MC,On the Go Happy Meal,1985,1985-01-01,,
69,MC,Toothbrush Happy Meal,1985,1985-01-01,,
70,MC,Transformers/My Little Pony,1985,,,
