ID,STORE,NAME,YEAR,VALUE,DESC
1,MC,Circus Train,1979,72.00,"Cajita Feliz de McDonald's (1979) - Circus Train, conjunto de juguetes."
2,MC,Space Raiders,1979,72.00,"Cajita Feliz de McDonald's (1979) - Space Raiders, conjunto de juguetes."
3,MC,Space Aliens,1979,72.00,"Cajita Feliz de McDonald's (1979) - Space Aliens, conjunto de juguetes."
4,MC,Star Trek: The Motion Picture toys,1979,72.00,Cajita Feliz de McDonald's (1979) - Star Trek: The Motion Picture toys.
5,MC,Star Trek: The Motion Picture toys,1980,54.00,Cajita Feliz de McDonald's (1980) - Star Trek: The Motion Picture toys.
6,MC,Safari Adventure,1980,54.00,"Cajita Feliz de McDonald's (1980) - Safari Adventure, conjunto de juguetes."
7,MC,Dallas Cowboys Super Box,1980,54.00,"Cajita Feliz de McDonald's (1980) - Dallas Cowboys Super Box, conjunto de juguetes."
8,MC,Happy Hotcakes,1980,54.00,"Cajita Feliz de McDonald's (1980) - Happy Hotcakes, conjunto de juguetes."
9,MC,Look,1980,54.00,"Cajita Feliz de McDonald's (1980) - Look, conjunto de juguetes."
10,MC,Olympic Medal Happy Meal,1980,54.00,"Cajita Feliz de McDonald's (1980) - Olympic Medal Happy Meal, conjunto de juguetes."
11,MC,Old West,1981,54.00,"Cajita Feliz de McDonald's (1981) - Old West, conjunto de juguetes."
12,MC,Playmobil,1981,54.00,"Cajita Feliz de McDonald's (1981) - Playmobil, conjunto de juguetes."
13,MC,Adventures of Ronald McDonald,1981,54.00,"Cajita Feliz de McDonald's (1981) - Adventures of Ronald McDonald, conjunto de juguetes."
14,MC,3,1981,54.00,"Cajita Feliz de McDonald's (1981) - 3, conjunto de juguetes."
15,MC,Dinosaur Days,1981,54.00,"Cajita Feliz de McDonald's (1981) - Dinosaur Days, conjunto de juguetes."
16,MC,Spaceship,1981,54.00,"Cajita Feliz de McDonald's (1981) - Spaceship, conjunto de juguetes."
17,MC,Spaceships,1982,54.00,"Cajita Feliz de McDonald's (1982) - Spaceships, conjunto de juguetes."
18,MC,Wacky Happy Meal,1982,54.00,"Cajita Feliz de McDonald's (1982) - Wacky Happy Meal, conjunto de juguetes."
19,MC,Going Places,1982,54.00,"Cajita Feliz de McDonald's (1982) - Going Places, conjunto de juguetes."
20,MC,The Dukes of Hazzard,1982,54.00,"Cajita Feliz de McDonald's (1982) - The Dukes of Hazzard, conjunto de juguetes."
21,MC,McDonaldland Express,1982,54.00,"Cajita Feliz de McDonald's (1982) - McDonaldland Express, conjunto de juguetes."
22,MC,Giggles and Games,1982,54.00,"Cajita Feliz de McDonald's (1982) - Giggles and Games, conjunto de juguetes."
23,MC,Little Golden Book,1982,54.00,Cajita Feliz de McDonald's (1982) - Little Golden Book.
24,MC,Playmobil,1982,54.00,"Cajita Feliz de McDonald's (1982) - Playmobil, conjunto de juguetes."
25,MC,Sky,1982,54.00,"Cajita Feliz de McDonald's (1982) - Sky, conjunto de juguetes."
26,MC,McDonaldland Junction,1983,54.00,"Cajita Feliz de McDonald's (1983) - McDonaldland Junction, conjunto de juguetes."
27,MC,Mystery Happy Meal,1983,54.00,"Cajita Feliz de McDonald's (1983) - Mystery Happy Meal, conjunto de juguetes."
28,MC,Play,1983,54.00,"Cajita Feliz de McDonald's (1983) - Play, conjunto de juguetes."
29,MC,Ship Shape Happy Meal,1983,54.00,"Cajita Feliz de McDonald's (1983) - Ship Shape Happy Meal, conjunto de juguetes."
30,MC,Lego Building Sets,1983,54.00,Cajita Feliz de McDonald's (1983) - Lego Building Sets.
31,MC,Circus Happy Meal,1983,54.00,"Cajita Feliz de McDonald's (1983) - Circus Happy Meal, conjunto de juguetes."
32,MC,Winter Worlds Happy Meal,1983,54.00,"Cajita Feliz de McDonald's (1983) - Winter Worlds Happy Meal, conjunto de juguetes."
33,MC,Astrosniks,1983,54.00,"Cajita Feliz de McDonald's (1983) - Astrosniks, conjunto de juguetes."
34,MC,Going Places Cups/Hot Wheels,1983,54.00,"Cajita Feliz de McDonald's (1983) - Going Places Cups/Hot Wheels, conjunto de juguetes."
35,MC,Happy Pail,1983,54.00,Cajita Feliz de McDonald's (1983) - Happy Pail.
36,MC,Happy Teeth,1983,54.00,"Cajita Feliz de McDonald's (1983) - Happy Teeth, conjunto de juguetes."
37,MC,Good Sports Happy Meal,1984,54.00,"Cajita Feliz de McDonald's (1984) - Good Sports Happy Meal, conjunto de juguetes."
38,MC,Popoids/Crazy Creatures,1984,54.00,"Cajita Feliz de McDonald's (1984) - Popoids/Crazy Creatures, conjunto de juguetes."
39,MC,Astrosniks,1984,54.00,"Cajita Feliz de McDonald's (1984) - Astrosniks, conjunto de juguetes."
40,MC,Happy Pail,1984,54.00,Cajita Feliz de McDonald's (1984) - Happy Pail.
